Enrollment Id,Company Name,Android APIs,Chrome APIs,SDK Names,Site
HPFWR,2K Games,Protected-Audience ,Attribution-Reporting Private-Aggregation Protected-Audience Shared-Storage Topics ,,https://2k.com
B5WWG,33Across,,Attribution-Reporting Private-Aggregation Protected-Audience Shared-Storage Topics ,,https://33across.com
YWEHT,AWIN AG,,Attribution-Reporting ,,https://wepowerconnections.com
V84E9,Accertify Inc,,Attribution-Reporting Private-Aggregation Protected-Audience Shared-Storage Topics ,,https://cdn-net.com
M4ZZG,Acxiom,,Attribution-Reporting Protected-Audience Shared-Storage Topics ,,https://acxiom.com
U3DCP,AdTheorent Inc.,,Attribution-Reporting Private-Aggregation Protected-Audience Shared-Storage Topics ,,https://adentifi.com
RCW2F,Adform,,Attribution-Reporting Private-Aggregation Protected-Audience Shared-Storage Topics ,,https://adform.net
XG7AT,Adikteev,Attribution-Reporting Protected-Audience ,,,https://adikteev.com
67J8J,Adjust,Attribution-Reporting Protected-Audience ,,,https://adjust.com
WAZQK,Admixer,Attribution-Reporting Protected-Audience ,Attribution-Reporting Private-Aggregation Protected-Audience Shared-Storage Topics ,,https://admixer.net
FAPVJ,Adnami ApS,,Attribution-Reporting Private-Aggregation Protected-Audience Shared-Storage Topics ,,https://adnami.io
EMFBR,Adobe Inc.,,Attribution-Reporting Private-Aggregation Protected-Audience Shared-Storage Topics ,,https://everesttech.net
K5HGK,Adswizz Inc.,Protected-Audience Topics ,Private-Aggregation Protected-Audience Shared-Storage Topics ,com.adswizz.sdk,https://adswizz.com
6NECT,AffinityAnswers,Attribution-Reporting Protected-Audience ,Attribution-Reporting Private-Aggregation Protected-Audience Shared-Storage Topics ,,https://affinityanswers.com
ZAXTN,AlgoriX Technology Pte. Ltd.,Protected-Audience Topics ,Private-Aggregation Protected-Audience Shared-Storage Topics ,com.alxad,https://open-bid.com
V28N2,Amazon,,Protected-Audience ,,https://amazon-adsystem.com
XRXG9,Amazon,,Attribution-Reporting Private-Aggregation Shared-Storage ,,https://paa-reporting-advertising.amazon
MY67Q,Anonymised,,Attribution-Reporting Private-Aggregation Protected-Audience Shared-Storage Topics ,,https://anonymised.io
J4KNU,Ansira Partners,Protected-Audience ,Private-Aggregation Protected-Audience Shared-Storage Topics ,,https://admission.net
ZNWX8,AntVoice,,Attribution-Reporting Private-Aggregation Protected-Audience Shared-Storage Topics ,,https://avads.net
3VT6H,AppLovin,Attribution-Reporting Protected-Audience Topics ,,com.applovin.sdk,https://applovin.com
59AGN,Appier Inc,Attribution-Reporting Protected-Audience ,Attribution-Reporting Private-Aggregation Protected-Audience Shared-Storage Topics ,,https://appier.net
8XPN2,Appnext PTE,Attribution-Reporting Protected-Audience Topics ,,com.appnext.sdk,https://appnext.com
4MYKT,AppsFlyer,Attribution-Reporting Protected-Audience ,Attribution-Reporting Private-Aggregation Protected-Audience Shared-Storage ,,https://appsflyer.com
VVG5D,Aqfer Inc.,,Attribution-Reporting Private-Aggregation Topics ,,https://aqfer.com
UTKBT,AristUnited (Wider Planet),,Attribution-Reporting Private-Aggregation Protected-Audience Shared-Storage Topics ,,https://artistunited.com
79QP3,Atirun Techs Pvt. Ltd.,,Topics ,,https://atirun.com
7AWA5,AudienceProject,,Private-Aggregation Protected-Audience Shared-Storage Topics ,,https://audienceproject.com
FBP3P,Audigent,Protected-Audience ,Attribution-Reporting Private-Aggregation Protected-Audience Shared-Storage Topics ,,https://ad.gt
9MY67,AviviD.ai,,Attribution-Reporting Private-Aggregation Protected-Audience Shared-Storage Topics ,,https://advividnetwork.com
PCQKH,Azerion Technology B.V.,,Attribution-Reporting Private-Aggregation Protected-Audience Shared-Storage Topics ,,https://360yield.com
